schemeCode,amc,schemeName,categoryRaw,type,categoryFull,scheme,category,isinGrowth,isinDivReinvestment,navCount,navOldestDate,navLatestDate,navOldest,navLatest
"100027","Standard Chartered Mutual Fund","Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","531","2006-04-03","2008-05-29","10.0774","11.0204"
"100028","Standard Chartered Mutual Fund","Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","531","2006-04-03","2008-05-29","10.0331","10.6716"
"100029","Standard Chartered Mutual Fund","Grindlays Super Saver Income Fund-GSSIF-Growth","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","531","2006-04-03","2008-05-29","16.0552","18.9736"
"100030","Standard Chartered Mutual Fund","Grindlays Super Saver Income Fund-GSSIF-Annual Dividend","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","531","2006-04-03","2008-05-29","10.0899","11.2608"
"100031","Standard Chartered Mutual Fund","Grindlays Super Saver Income Fund-GSSIF - ST-Dividend","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","531","2006-04-03","2008-05-29","9.9963","10.1053"
"100032","Standard Chartered Mutual Fund","Grindlays Super Saver Income Fund-GSSIF - ST-Growth","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","531","2006-04-03","2008-05-29","13.9106","16.4299"
"100033","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth","Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund )","Open Ended Schemes","Equity Scheme - Large & Mid Cap Fund","Equity Scheme","Large & Mid Cap Fund","INF209K01165","","3631","2006-04-03","2020-12-31","69.11","500.63"
"100034","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW","Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund )","Open Ended Schemes","Equity Scheme - Large & Mid Cap Fund","Equity Scheme","Large & Mid Cap Fund","INF209K01157","INF209K01CE5","3631","2006-04-03","2020-12-31","47.14","139.62"
"100035","Aditya Birla Sun Life Mutual Fund","Birla Sun Life Freedom Fund-Plan A (Dividend)","Open Ended Schemes ( Balanced )","Open Ended Schemes","Balanced","Balanced","Balanced","","","1371","2006-04-03","2011-10-21","14.33","24.55"
"100036","Aditya Birla Sun Life Mutual Fund","Birla Sun Life Freedom Fund-Plan B (Growth)","Open Ended Schemes ( Balanced )","Open Ended Schemes","Balanced","Balanced","Balanced","","","1371","2006-04-03","2011-10-21","22.84","36.92"
"100037","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW","Open Ended Schemes ( Debt Scheme - Medium to Long Duration Fund )","Open Ended Schemes","Debt Scheme - Medium to Long Duration Fund","Debt Scheme","Medium to Long Duration Fund","INF209K01587","INF209K01CY3","3569","2006-04-03","2020-12-31","10.0551","13.9687"
"100038","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Income Fund - Growth - Regular Plan","Open Ended Schemes ( Debt Scheme - Medium to Long Duration Fund )","Open Ended Schemes","Debt Scheme - Medium to Long Duration Fund","Debt Scheme","Medium to Long Duration Fund","INF209K01579","","3569","2006-04-03","2020-12-31","28.9093","98.0406"
"100041","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Liquid Fund -Institutional - IDCW","Open Ended Schemes ( Debt Scheme - Liquid Fund )","Open Ended Schemes","Debt Scheme - Liquid Fund","Debt Scheme","Liquid Fund","","INF209K01KN9","4701","2006-04-02","2020-12-31","10.8023","108.1673"
"100042","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Liquid Fund-Retail (Growth)","Open Ended Schemes ( Debt Scheme - Liquid Fund )","Open Ended Schemes","Debt Scheme - Liquid Fund","Debt Scheme","Liquid Fund","INF209K01ME4","","4701","2006-04-02","2020-12-31","18.841","530.3476"
"100043","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Liquid Fund-Institutional (Growth)","Open Ended Schemes ( Debt Scheme - Liquid Fund )","Open Ended Schemes","Debt Scheme - Liquid Fund","Debt Scheme","Liquid Fund","INF209K01RT1","","4701","2006-04-02","2020-12-31","18.9539","544.2463"
"100044","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Liquid Fund -Retail - IDCW","Open Ended Schemes ( Debt Scheme - Liquid Fund )","Open Ended Schemes","Debt Scheme - Liquid Fund","Debt Scheme","Liquid Fund","","INF209K01KP4","4701","2006-04-02","2020-12-31","16.3694","163.9127"
