schemeCode,amc,schemeName,categoryRaw,type,categoryFull,scheme,category,isinGrowth,isinDivReinvestment,navCount,navOldestDate,navLatestDate,navOldest,navLatest
"100029","Standard Chartered Mutual Fund","Grindlays Super Saver Income Fund-GSSIF-Growth","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","531","2006-04-03","2008-05-29","16.0552","18.9736"
"100032","Standard Chartered Mutual Fund","Grindlays Super Saver Income Fund-GSSIF - ST-Growth","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","531","2006-04-03","2008-05-29","13.9106","16.4299"
"100033","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth","Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund )","Open Ended Schemes","Equity Scheme - Large & Mid Cap Fund","Equity Scheme","Large & Mid Cap Fund","INF209K01165","","3631","2006-04-03","2020-12-31","69.11","500.63"
"100036","Aditya Birla Sun Life Mutual Fund","Birla Sun Life Freedom Fund-Plan B (Growth)","Open Ended Schemes ( Balanced )","Open Ended Schemes","Balanced","Balanced","Balanced","","","1371","2006-04-03","2011-10-21","22.84","36.92"
"100038","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Income Fund - Growth - Regular Plan","Open Ended Schemes ( Debt Scheme - Medium to Long Duration Fund )","Open Ended Schemes","Debt Scheme - Medium to Long Duration Fund","Debt Scheme","Medium to Long Duration Fund","INF209K01579","","3569","2006-04-03","2020-12-31","28.9093","98.0406"
"100042","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Liquid Fund-Retail (Growth)","Open Ended Schemes ( Debt Scheme - Liquid Fund )","Open Ended Schemes","Debt Scheme - Liquid Fund","Debt Scheme","Liquid Fund","INF209K01ME4","","4701","2006-04-02","2020-12-31","18.841","530.3476"
"100043","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Liquid Fund-Institutional (Growth)","Open Ended Schemes ( Debt Scheme - Liquid Fund )","Open Ended Schemes","Debt Scheme - Liquid Fund","Debt Scheme","Liquid Fund","INF209K01RT1","","4701","2006-04-02","2020-12-31","18.9539","544.2463"
"100047","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Liquid Fund - Growth","Open Ended Schemes ( Debt Scheme - Liquid Fund )","Open Ended Schemes","Debt Scheme - Liquid Fund","Debt Scheme","Liquid Fund","INF209K01RU9","","4701","2006-04-02","2020-12-31","11.1096","326.8132"
"100055","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan","Open Ended Schemes ( Debt Scheme - Gilt Fund )","Open Ended Schemes","Debt Scheme - Gilt Fund","Debt Scheme","Gilt Fund","INF209K01AA7","","2347","2006-04-03","2015-12-11","17.0748","32.2187"
"100058","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan","Open Ended Schemes ( Debt Scheme - Gilt Fund )","Open Ended Schemes","Debt Scheme - Gilt Fund","Debt Scheme","Gilt Fund","INF209K01AC3","INF209K01AD1","3569","2006-04-03","2020-12-31","19.6414","63.693"
"100061","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan","Open Ended Schemes ( Debt Scheme - Gilt Fund )","Open Ended Schemes","Debt Scheme - Gilt Fund","Debt Scheme","Gilt Fund","INF209K01AH2","","2943","2006-04-03","2018-06-01","21.7559","51.3072"
"100064","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life MNC Fund - Growth - Regular Plan","Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic )","Open Ended Schemes","Equity Scheme - Sectoral/ Thematic","Equity Scheme","Sectoral/ Thematic","INF209K01322","","3631","2006-04-03","2020-12-31","76.65","876.93"
"100066","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan","Open Ended Schemes ( Growth )","Open Ended Schemes","Growth","Growth","Growth","INF209K01298","","2996","2006-04-03","2018-06-01","20.71","170.1"
"100069","Baroda BNP Paribas Mutual Fund","BARODA PIONEER DIVERSIFIED FUND","Open Ended Schemes ( Growth )","Open Ended Schemes","Growth","Growth","Growth","","","872","2006-04-03","2009-10-30","19.32","50.42"
"100078","DSP Mutual Fund","DSP Bond Fund - Growth","Open Ended Schemes ( Debt Scheme - Medium Duration Fund )","Open Ended Schemes","Debt Scheme - Medium Duration Fund","Debt Scheme","Medium Duration Fund","INF740K01557","","3566","2006-04-03","2020-12-31","23.8116","63.527"
"100081","DSP Mutual Fund","DSP Aggressive Hybrid Fund- Regular Plan - Growth","Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund )","Open Ended Schemes","Hybrid Scheme - Aggressive Hybrid Fund","Hybrid Scheme","Aggressive Hybrid Fund","INF740K01318","","3633","2006-04-03","2020-12-31","31.23","191.625"
"100084","DSP Mutual Fund","DSP Gilt Fund - Regular Plan - Growth","Open Ended Schemes ( Debt Scheme - Gilt Fund )","Open Ended Schemes","Debt Scheme - Gilt Fund","Debt Scheme","Gilt Fund","INF740K01615","","3565","2006-04-03","2020-12-31","22.175","73.926"
"100087","DSP Mutual Fund","DSP Savings Fund - Regular Plan - Growth","Open Ended Schemes ( Debt Scheme - Money Market Fund )","Open Ended Schemes","Debt Scheme - Money Market Fund","Debt Scheme","Money Market Fund","INF740K01714","","3565","2006-04-03","2020-12-31","16.0201","40.9161"
"100090","DSP Mutual Fund","DSP BlackRock Technology.com   Fund - Regular Plan - Growth","Open Ended Schemes ( Growth )","Open Ended Schemes","Growth","Growth","Growth","INF740K01219","","2788","2006-04-03","2017-07-28","12.793","56.591"
"100119","HDFC Mutual Fund","HDFC Balanced Advantage Fund - Growth Plan","Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage )","Open Ended Schemes","Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage","Hybrid Scheme","Dynamic Asset Allocation or Balanced Advantage","INF179K01830","","3630","2006-04-03","2020-12-31","35.65","216.894"
"100122","HDFC Mutual Fund","HDFC Balanced Fund - Growth Option","Open Ended Schemes ( Balanced )","Open Ended Schemes","Balanced","Balanced","Balanced","INF179K01392","","2995","2006-04-03","2018-06-01","24.009","153.439"
"100124","HDFC Mutual Fund","HDFC Income Fund - Growth Option","Open Ended Schemes ( Debt Scheme - Medium to Long Duration Fund )","Open Ended Schemes","Debt Scheme - Medium to Long Duration Fund","Debt Scheme","Medium to Long Duration Fund","INF179K01962","","3573","2006-04-03","2020-12-31","16.1267","46.8317"
"100136","Principal Mutual Fund","Principal Deposit Fund-Plan 54EA/EB-Plan 54EA /EB","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","186","2006-04-03","2006-12-29","17.0705","17.9034"
"100150","Principal Mutual Fund","Principal Child Benefit Fund-Super Saver-Future Guard Plan","Open Ended Schemes ( Growth )","Open Ended Schemes","Growth","Growth","Growth","","","804","2006-04-03","2009-07-10","41.15","89.6"
"100151","Principal Mutual Fund","Principal Retail Equity Savings Fund - Growth Option","Open Ended Schemes ( Growth )","Open Ended Schemes","Growth","Growth","Growth","INF173K01CP9","","1952","2006-04-03","2014-02-28","41.69","94.87"
"100153","Principal Mutual Fund","Principal Nifty 100 Equal Weight Fund-Growth","Open Ended Schemes ( Other Scheme - Index Funds )","Open Ended Schemes","Other Scheme - Index Funds","Other Scheme","Index Funds","INF173K01AG2","","3630","2006-04-03","2020-12-31","18.5712","82.6418"
"100155","Principal Mutual Fund","Principal Equity Fund-Growth","Open Ended Schemes ( Growth )","Open Ended Schemes","Growth","Growth","Growth","","","86","2006-04-03","2006-08-04","29.41","35.3"
"100156","Principal Mutual Fund","Principal Tax Savings Fund","Open Ended Schemes ( Equity Scheme - ELSS )","Open Ended Schemes","Equity Scheme - ELSS","Equity Scheme","ELSS","INF173K01361","","3626","2006-04-03","2020-12-31","37.63","247.04"
"100172","quant Mutual Fund","Quant Dynamic Bond-Growth","Open Ended Schemes ( Debt Scheme - Dynamic Bond )","Open Ended Schemes","Debt Scheme - Dynamic Bond","Debt Scheme","Dynamic Bond","INF966L01093","","3626","2006-04-03","2020-12-31","21.6579","64.3309"
"100173","quant Mutual Fund","Quant Dynamic Bond-Bonus","Open Ended Schemes ( Debt Scheme - Dynamic Bond )","Open Ended Schemes","Debt Scheme - Dynamic Bond","Debt Scheme","Dynamic Bond","INF966L01101","","3626","2006-04-03","2020-12-31","11.4063","33.8343"
"100175","quant Mutual Fund","quant ELSS Tax Saver Fund - Growth Option - Regular Plan","Open Ended Schemes ( Equity Scheme - ELSS )","Open Ended Schemes","Equity Scheme - ELSS","Equity Scheme","ELSS","INF966L01135","","3637","2006-04-03","2020-12-31","25.227","138.0872"
"100177","quant Mutual Fund","quant Small Cap Fund - Growth - Regular Plan","Open Ended Schemes ( Equity Scheme - Small Cap Fund )","Open Ended Schemes","Equity Scheme - Small Cap Fund","Equity Scheme","Small Cap Fund","INF966L01AA0","","3633","2006-04-03","2020-12-31","17.9008","70.3967"
"100181","ING Mutual Fund","ING Income Fund-Regular Plan -Growth Option","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","INF084M01713","","2064","2006-04-03","2014-10-09","17.4465","32.9755"
"100185","ING Mutual Fund","ING Income Fund-Bonus Option","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","781","2006-04-03","2009-06-12","10.6376","14.713"
"100186","ING Mutual Fund","ING Income Fund-Institutional Bonus Option","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","","","781","2006-04-03","2009-06-12","10.7723","15.2585"
"100187","ING Mutual Fund","ING Income Fund-Institutional Plan - Growth Option","Open Ended Schemes ( Income )","Open Ended Schemes","Income","Income","Income","INF084M01788","","2064","2006-04-03","2014-10-09","9.9068","25.1525"
"100189","ING Mutual Fund","ING Core Equity Fund-Growth Option","Open Ended Schemes ( Growth )","Open Ended Schemes","Growth","Growth","Growth","INF084M01184","","2099","2006-04-03","2014-10-09","17.33","57.09"
"100190","ING Mutual Fund","ING Liquid Fund-Regular Growth Option","Open Ended Schemes ( Liquid )","Open Ended Schemes","Liquid","Liquid","Liquid","INF084M01424","","2925","2006-04-01","2014-10-09","14.8496","27.339"
"100194","ING Mutual Fund","ING Liquid Fund-Auto Sweep Growth Option","Open Ended Schemes ( Liquid )","Open Ended Schemes","Liquid","Liquid","Liquid","","","1083","2006-04-01","2009-03-18","10","10"
"100196","ING Mutual Fund","ING Liquid Fund-Institutional Growth Option","Open Ended Schemes ( Liquid )","Open Ended Schemes","Liquid","Liquid","Liquid","INF084M01465","","2925","2006-04-01","2014-10-09","10.9832","20.7771"
"100199","ING Mutual Fund","ING Liquid Fund-Super Institutional Growth Option","Open Ended Schemes ( Liquid )","Open Ended Schemes","Liquid","Liquid","Liquid","INF084M01507","","2925","2006-04-01","2014-10-09","10.3845","19.933"
"100203","ING Mutual Fund","ING Balanced Fund-Growth Option","Open Ended Schemes ( Balanced )","Open Ended Schemes","Balanced","Balanced","Balanced","INF084M01AB8","","2099","2006-04-03","2014-10-09","13.75","35.41"
"100219","JM Financial Mutual Fund","JM Large Cap Fund (Regular) - Growth Option","Open Ended Schemes ( Equity Scheme - Large Cap Fund )","Open Ended Schemes","Equity Scheme - Large Cap Fund","Equity Scheme","Large Cap Fund","INF192K01601","","3634","2006-04-03","2020-12-31","17.8063","80.5146"
"100221","JM Financial Mutual Fund","JM Aggressive Hybrid Fund (Regular) -Growth Option","Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund )","Open Ended Schemes","Hybrid Scheme - Aggressive Hybrid Fund","Hybrid Scheme","Aggressive Hybrid Fund","INF192K01544","","3636","2006-04-03","2020-12-31","12.5702","54.7888"
"100223","JM Financial Mutual Fund","JM Medium to Long Duration Fund (Regular) - Growth Option","Open Ended Schemes ( Debt Scheme - Medium to Long Duration Fund )","Open Ended Schemes","Debt Scheme - Medium to Long Duration Fund","Debt Scheme","Medium to Long Duration Fund","INF192K01AB3","","3562","2006-04-03","2020-12-31","27.7041","50.6702"
